Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
palazzo_dell_informazione,2023:08:22,45.472343,9.194874972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/57.jpg,57,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/56.jpg?raw=true"">",,
palazzo_durini,2023:08:23,45.46002097,9.184188972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/58.jpg,58,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/58.jpg?raw=true"">",,
palazzo_sormani,2023:08:22,45.462507,9.198202972,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/59.jpg,59,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/59.jpg?raw=true"">",,
piccola_scala,2023:08:22,45.466931,9.188734972,non attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/60.jpg,60,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/60.jpg?raw=true"">",,
piccolo_bar,2023:08:22,45.468335,9.190846,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/61.jpg,61,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/61.jpg?raw=true"">",,
piccolo_teatro,2021:08:10,45.4664884,9.1850978,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/62.jpg,62,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/62.jpg?raw=true"">",,
pick_up_club,2023:08:23,45.480451,9.224403,non attivo,Whisky a go-go,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/63.jpg,63,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/63.jpg?raw=true"">",,
pigalle,2023:08:23,45.479308,9.210169,non attivo,Dancing,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/64.jpg,64,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/64.jpg?raw=true"">",,
pinacoteca_di_brera,2023:08:22,45.47138,9.187794,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/65.jpg,65,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/65.jpg?raw=true"">",,
politecnico,2023:08:23,45.47756797,9.226616972,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/66.jpg,66,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/66.jpg?raw=true"">",,
